Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1006409,110024519001.0,"Algonquin Power Windsor Locks, LLC",WINDSOR LOCKS,CT,6096,26 CANAL BANK RD,Hartford,41.9227,-72.6255,221112.0,"C,D",Power Plants,89091.16,88998.5,42.0,50.66,,,,,,,,,,85669.128,3422.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001217,110001599789.0,Allegany Generating Station,Portageville,NY,14536,11537 ROUTE 19A,Allegany,42.5083,-78.0661,221112.0,"C,D",Power Plants,7983.02,7974.8,3.75,4.47,,,,,,,,,,300.448,7682.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000916,110000374130.0,Allen,MEMPHIS,TN,38109,2574 PLANT RD,Shelby,35.0742,-90.1439,221112.0,"C,D",Power Plants,2058845.168,2056753.7,954.3,1137.168,,,,,,,,,,6554.674,2052290.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000691,110000423612.0,Allen S King,OAK PARK HEIGHTS,MN,55003,1103 KING PLANT RD,Washington,45.03,-92.7786,221112.0,"C,D",Power Plants,1821781.554,1812305.3,477.25,8999.004,,,,,,,,,,5537.08,1816244.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1007315,110021087517.0,Almond Power Plant,MODESTO,CA,95358,4500 CROWS LANDING ROAD,Stanislaus,37.5739,-120.9854,221112.0,D,Power Plants,160829.804,160666.5,74.5,88.804,,,,,,,,,,,160829.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1013070,110071162022.0,Alpaca Energy LLC,Canton,PA,17724,220 Romaine Ln.,BRADFORD COUNTY,41.663988,-76.808492,221112.0,C,Power Plants,21850.316,21827.3,10.5,12.516,,,,,,,,,,21850.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1012152,110070082175.0,Alpine Power Plant,Elmira,MI,49730,7432 M-32,OTSEGO COUNTY,45.063748,-84.825348,221112.0,"C,D",Power Plants,190032.092,189838.1,88.5,105.492,,,,,,,,,,217.5,189814.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000417,110071159476.0,Alsey Station,ALSEY,IL,62694,331 Campbell Road,Scott,39.5697,-90.4362,221112.0,"C,D",Power Plants,10214.812,10204.4,4.75,5.662,,,,,,,,,,3417.488,6797.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001625,110000508086.0,AltaGas Ripon Energy Inc.,Ripon,CA,95366,944 South Stockton Ave.,SAN JOAQUIN COUNTY,37.7313,-121.1161,221112.0,C,Power Plants,2966.588,2963.3,1.5,1.788,,,,,,,,,,2966.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1005802,110038076453.0,Ames,AMES,IA,50010,200 E 5TH ST,Story,42.0247,-93.6069,221112.0,D,Power Plants,78939.756,78529.3,165.5,244.956,,,,,,,,,6910.8,,78939.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
